name,type,link,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10
Doğalsan Bastet Kedi Kumu 8 L,,https://www.migros.com.tr/dogalsan-bastet-kedi-kumu-8-l-p-272d2ff,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Marsilya Sabunlu Kedi Kumu 10 L,,https://www.migros.com.tr/catwalk-premium-marsilya-sabunlu-kedi-kumu-10-l-p-280cd9c,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Cat Litter Kedi Kumu 5 L,,https://www.migros.com.tr/catwalk-premium-cat-litter-kedi-kumu-5-l-p-280cd97,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Baby Powder Kedi Kumu 10 L,,https://www.migros.com.tr/catwalk-premium-baby-powder-kedi-kumu-10-l-p-280cd9a,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Marsilya Sabunlu Kedi Kumu 5 L,,https://www.migros.com.tr/catwalk-premium-marsilya-sabunlu-kedi-kumu-5-l-p-280cd9b,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Catwalk Premium Cat Litter Kedi Kumu 10 L,,https://www.migros.com.tr/catwalk-premium-cat-litter-kedi-kumu-10-l-p-280cd98,Pet Shop,Kedi,Kedi Kumu,,,,,,,
Dreamies Ördekli Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-ordekli-kedi-odul-mamasi-60-g-p-27215aa,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Tavuklu Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-tavuklu-kedi-odul-mamasi-60-g-p-27215a9,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Somonlu Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-somonlu-kedi-odul-mamasi-60-g-p-27215a7,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Peynirli Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-peynirli-kedi-odul-mamasi-60-g-p-27215a8,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Felix Party Mix Okyanus Lezzetleri Ödül Maması 60G,,https://www.migros.com.tr/felix-party-mix-okyanus-lezzetleri-odul-mamasi-60g-p-280be85,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Mega Somonlu 180 G Kedi Ödül Maması,,https://www.migros.com.tr/dreamies-mega-somonlu-180-g-kedi-odul-mamasi-p-27215c1,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Felix Party Mix Piknik Lezzetleri Ödül Maması 60G,,https://www.migros.com.tr/felix-party-mix-piknik-lezzetleri-odul-mamasi-60g-p-280be86,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Felix Party Mix Orijinal Lezzetler Ödül Maması 60G,,https://www.migros.com.tr/felix-party-mix-orijinal-lezzetler-odul-mamasi-60g-p-280be88,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Felix Party Mix Peynirli Ödül Maması 60 G,,https://www.migros.com.tr/felix-party-mix-peynirli-odul-mamasi-60-g-p-280be8b,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Sığırlı ve Peynirli Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-sigirli-ve-peynirli-kedi-odul-mamasi-60-g-p-280c09d,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Dreamies Somonlu ve Peynirli Kedi Ödül Maması 60 G,,https://www.migros.com.tr/dreamies-somonlu-ve-peynirli-kedi-odul-mamasi-60-g-p-280c09e,Pet Shop,Kedi,Kedi Ödül Maması,,,,,,,
Pedigree Sığırlı Konserve Yaş Mama 400 G,,https://www.migros.com.tr/pedigree-sigirli-konserve-yas-mama-400-g-p-8a65ce,Pet Shop,Köpek,Köpek Maması,,,,,,,
Dost Pati Köpek Maması Kuzu Etli,,https://www.migros.com.tr/dost-pati-kopek-mamasi-kuzu-etli-p-271ff06,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Küçük Köpek Biftekli Ve Sebzeli 2 Kg,,https://www.migros.com.tr/pedigree-kucuk-kopek-biftekli-ve-sebzeli-2-kg-p-271fe9c,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Tavuklu Konserve Yaş Mama 400 G,,https://www.migros.com.tr/pedigree-tavuklu-konserve-yas-mama-400-g-p-271fe12,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Yavru Konserve Yaş Mama 400 G,,https://www.migros.com.tr/pedigree-yavru-konserve-yas-mama-400-g-p-8a65d0,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Pouch Biftekli 100 G,,https://www.migros.com.tr/pedigree-pouch-biftekli-100-g-p-8a854b,Pet Shop,Köpek,Köpek Maması,,,,,,,
Bestpet Kuzu Etli Yaş Köpek Maması 100 G,,https://www.migros.com.tr/bestpet-kuzu-etli-yas-kopek-mamasi-100-g-p-280d655,Pet Shop,Köpek,Köpek Maması,,,,,,,
Croque Yavru Köpek Kuzulu 3 Kg,,https://www.migros.com.tr/croque-yavru-kopek-kuzulu-3-kg-p-271fee8,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Pouch 4'lü Paket Etli Seçenekleri 4x100 G,,https://www.migros.com.tr/pedigree-pouch-4lu-paket-etli-secenekleri-4x100-g-p-8a854c,Pet Shop,Köpek,Köpek Maması,,,,,,,
Friskies Etli Aktif Köpek 10 Kg,,https://www.migros.com.tr/friskies-etli-aktif-kopek-10-kg-p-271fe7a,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Biftekli Kuru Mama 2.6 Kg,,https://www.migros.com.tr/pedigree-biftekli-kuru-mama-26-kg-p-8a6722,Pet Shop,Köpek,Köpek Maması,,,,,,,
Joker Köpek Maması Tavuk Etli 15 Kg,,https://www.migros.com.tr/joker-kopek-mamasi-tavuk-etli-15-kg-p-271feab,Pet Shop,Köpek,Köpek Maması,,,,,,,
Pedigree Yavru Kuru Mama 3 Kg,,https://www.migros.com.tr/pedigree-yavru-kuru-mama-3-kg-p-8a9dae,Pet Shop,Köpek,Köpek Maması,,,,,,,
Friskies Tavuklu Ve Havuçlu Köpek Pouch 100 G,,https://www.migros.com.tr/friskies-tavuklu-ve-havuclu-kopek-pouch-100-g-p-280d3ba,Pet Shop,Köpek,Köpek Maması,,,,,,,
